"date_of_interest","cases","count","areas"
"02/29/2020","CASE_COUNT",0,"BX"
"02/29/2020","PROBABLE_CASE_COUNT",0,"BX"
"02/29/2020","HOSPITALIZED_COUNT",0,"BX"
"02/29/2020","DEATH_COUNT",0,"BX"
"02/29/2020","PROBABLE_DEATH_COUNT",0,"BX"
"02/29/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"02/29/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"02/29/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
"02/29/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BX"
"02/29/2020","DEATH_COUNT_7DAY_AVG",0,"BX"
"02/29/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BX"
"02/29/2020","CASE_COUNT",0,"BK"
"02/29/2020","PROBABLE_CASE_COUNT",0,"BK"
"02/29/2020","HOSPITALIZED_COUNT",1,"BK"
"02/29/2020","DEATH_COUNT",0,"BK"
"02/29/2020","PROBABLE_DEATH_COUNT",0,"BK"
"02/29/2020","CASE_COUNT_7DAY_AVG",0,"BK"
"02/29/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BK"
"02/29/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BK"
"02/29/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"BK"
"02/29/2020","DEATH_COUNT_7DAY_AVG",0,"BK"
"02/29/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"BK"
"02/29/2020","CASE_COUNT",1,"MN"
"02/29/2020","PROBABLE_CASE_COUNT",0,"MN"
"02/29/2020","HOSPITALIZED_COUNT",0,"MN"
"02/29/2020","DEATH_COUNT",0,"MN"
"02/29/2020","PROBABLE_DEATH_COUNT",0,"MN"
"02/29/2020","CASE_COUNT_7DAY_AVG",0,"MN"
"02/29/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"MN"
"02/29/2020","ALL_CASE_COUNT_7DAY_AVG",0,"MN"
"02/29/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"MN"
"02/29/2020","DEATH_COUNT_7DAY_AVG",0,"MN"
"02/29/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"MN"
"02/29/2020","CASE_COUNT",0,"QN"
"02/29/2020","PROBABLE_CASE_COUNT",0,"QN"
"02/29/2020","HOSPITALIZED_COUNT",0,"QN"
"02/29/2020","DEATH_COUNT",0,"QN"
"02/29/2020","PROBABLE_DEATH_COUNT",0,"QN"
"02/29/2020","CASE_COUNT_7DAY_AVG",0,"QN"
"02/29/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"QN"
"02/29/2020","ALL_CASE_COUNT_7DAY_AVG",0,"QN"
"02/29/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"QN"
"02/29/2020","DEATH_COUNT_7DAY_AVG",0,"QN"
"02/29/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"QN"
"02/29/2020","CASE_COUNT",0,"SI"
"02/29/2020","PROBABLE_CASE_COUNT",0,"SI"
"02/29/2020","HOSPITALIZED_COUNT",0,"SI"
"02/29/2020","DEATH_COUNT",0,"SI"
"02/29/2020","PROBABLE_DEATH_COUNT",0,"SI"
"02/29/2020","CASE_COUNT_7DAY_AVG",0,"SI"
"02/29/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"SI"
"02/29/2020","ALL_CASE_COUNT_7DAY_AVG",0,"SI"
"02/29/2020","HOSPITALIZED_COUNT_7DAY_AVG",0,"SI"
"02/29/2020","DEATH_COUNT_7DAY_AVG",0,"SI"
"02/29/2020","ALL_DEATH_COUNT_7DAY_AVG",0,"SI"
"03/01/2020","CASE_COUNT",0,"BX"
"03/01/2020","PROBABLE_CASE_COUNT",0,"BX"
"03/01/2020","HOSPITALIZED_COUNT",1,"BX"
"03/01/2020","DEATH_COUNT",0,"BX"
"03/01/2020","PROBABLE_DEATH_COUNT",0,"BX"
"03/01/2020","CASE_COUNT_7DAY_AVG",0,"BX"
"03/01/2020","PROBABLE_CASE_COUNT_7DAY_AVG",0,"BX"
"03/01/2020","ALL_CASE_COUNT_7DAY_AVG",0,"BX"
