"date_of_interest","areas","CASE_COUNT","PROBABLE_CASE_COUNT","HOSPITALIZED_COUNT","DEATH_COUNT","PROBABLE_DEATH_COUNT","CASE_COUNT_7DAY_AVG","ALL_CASE_COUNT_7DAY_AVG","HOSP_COUNT_7DAY_AVG","DEATH_COUNT_7DAY_AVG","ALL_DEATH_COUNT_7DAY_AVG","PROBABLE_CASE_COUNT_7DAY_AVG","HOSPITALIZED_COUNT_7DAY_AVG"
"02/29/2020","BX",0,0,0,0,0,0,0,NA,0,0,0,0
"02/29/2020","BK",0,0,1,0,0,0,0,NA,0,0,0,0
"02/29/2020","MN",1,0,0,0,0,0,0,NA,0,0,0,0
"02/29/2020","QN",0,0,0,0,0,0,0,NA,0,0,0,0
"02/29/2020","SI",0,0,0,0,0,0,0,NA,0,0,0,0
"03/01/2020","BX",0,0,1,0,0,0,0,NA,0,0,0,0
"03/01/2020","BK",0,0,0,0,0,0,0,NA,0,0,0,0
"03/01/2020","MN",0,0,0,0,0,0,0,NA,0,0,0,0
"03/01/2020","QN",0,0,0,0,0,0,0,NA,0,0,0,0
"03/01/2020","SI",0,0,0,0,0,0,0,NA,0,0,0,0
"03/02/2020","BX",0,0,0,0,0,0,0,NA,0,0,0,0
"03/02/2020","BK",0,0,2,0,0,0,0,NA,0,0,0,0
"03/02/2020","MN",0,0,0,0,0,0,0,NA,0,0,0,0
"03/02/2020","QN",0,0,0,0,0,0,0,NA,0,0,0,0
"03/02/2020","SI",0,0,0,0,0,0,0,NA,0,0,0,0
"03/03/2020","BX",0,0,1,0,0,0,0,NA,0,0,0,0
"03/03/2020","BK",0,0,3,0,0,0,0,NA,0,0,0,0
"03/03/2020","MN",0,0,1,0,0,0,0,NA,0,0,0,0
"03/03/2020","QN",1,0,2,0,0,0,0,NA,0,0,0,0
"03/03/2020","SI",0,0,0,0,0,0,0,NA,0,0,0,0
"03/04/2020","BX",0,0,0,0,0,0,0,NA,0,0,0,0
"03/04/2020","BK",1,0,1,0,0,0,0,NA,0,0,0,0
"03/04/2020","MN",2,0,1,0,0,0,0,NA,0,0,0,0
"03/04/2020","QN",2,0,0,0,0,0,0,NA,0,0,0,0
"03/04/2020","SI",0,0,0,0,0,0,0,NA,0,0,0,0
"03/05/2020","BX",0,0,1,0,0,0,0,NA,0,0,0,0
"03/05/2020","BK",3,0,3,0,0,0,0,NA,0,0,0,0
"03/05/2020","MN",0,0,5,0,0,0,0,NA,0,0,0,0
"03/05/2020","QN",0,0,4,0,0,0,0,NA,0,0,0,0
"03/05/2020","SI",0,0,1,0,0,0,0,NA,0,0,0,0
"03/06/2020","BX",2,0,1,0,0,0,0,NA,0,0,0,1
"03/06/2020","BK",1,0,1,0,0,1,1,NA,0,0,0,2
"03/06/2020","MN",3,0,3,0,0,1,1,NA,0,0,0,1
"03/06/2020","QN",1,0,2,0,0,1,1,NA,0,0,0,1
"03/06/2020","SI",1,0,1,0,0,0,0,NA,0,0,0,0
"03/07/2020","BX",0,0,1,0,0,0,0,NA,0,0,0,1
"03/07/2020","BK",2,0,3,0,0,1,1,NA,0,0,0,2
"03/07/2020","MN",1,0,0,0,0,1,1,NA,0,0,0,1
