"week_of_diagnosis","cases","count","vacci_status"
"01/29/2022","case_count",6491,"fully_vaccinated"
"01/29/2022","hospitalized_count",239,"fully_vaccinated"
"01/29/2022","death_count",36,"fully_vaccinated"
"01/29/2022","case_count",9984,"unboosted"
"01/29/2022","hospitalized_count",627,"unboosted"
"01/29/2022","death_count",99,"unboosted"
"01/29/2022","case_count",8148,"unvaccinated"
"01/29/2022","hospitalized_count",710,"unvaccinated"
"01/29/2022","death_count",143,"unvaccinated"
"02/05/2022","case_count",3731,"fully_vaccinated"
"02/05/2022","hospitalized_count",189,"fully_vaccinated"
"02/05/2022","death_count",28,"fully_vaccinated"
"02/05/2022","case_count",4833,"unboosted"
"02/05/2022","hospitalized_count",363,"unboosted"
"02/05/2022","death_count",49,"unboosted"
"02/05/2022","case_count",4641,"unvaccinated"
"02/05/2022","hospitalized_count",415,"unvaccinated"
"02/05/2022","death_count",73,"unvaccinated"
"02/12/2022","case_count",2586,"fully_vaccinated"
"02/12/2022","hospitalized_count",126,"fully_vaccinated"
"02/12/2022","death_count",8,"fully_vaccinated"
"02/12/2022","case_count",2776,"unboosted"
"02/12/2022","hospitalized_count",227,"unboosted"
"02/12/2022","death_count",26,"unboosted"
"02/12/2022","case_count",2588,"unvaccinated"
"02/12/2022","hospitalized_count",250,"unvaccinated"
"02/12/2022","death_count",38,"unvaccinated"
"02/19/2022","case_count",1774,"fully_vaccinated"
"02/19/2022","hospitalized_count",94,"fully_vaccinated"
"02/19/2022","death_count",11,"fully_vaccinated"
"02/19/2022","case_count",1761,"unboosted"
"02/19/2022","hospitalized_count",176,"unboosted"
"02/19/2022","death_count",18,"unboosted"
"02/19/2022","case_count",1743,"unvaccinated"
"02/19/2022","hospitalized_count",171,"unvaccinated"
"02/19/2022","death_count",21,"unvaccinated"
"02/26/2022","case_count",1597,"fully_vaccinated"
"02/26/2022","hospitalized_count",62,"fully_vaccinated"
"02/26/2022","death_count",5,"fully_vaccinated"
"02/26/2022","case_count",1176,"unboosted"
"02/26/2022","hospitalized_count",98,"unboosted"
"02/26/2022","death_count",10,"unboosted"
"02/26/2022","case_count",1099,"unvaccinated"
"02/26/2022","hospitalized_count",102,"unvaccinated"
"02/26/2022","death_count",9,"unvaccinated"
"03/05/2022","case_count",1584,"fully_vaccinated"
"03/05/2022","hospitalized_count",80,"fully_vaccinated"
"03/05/2022","death_count",9,"fully_vaccinated"
"03/05/2022","case_count",1123,"unboosted"
"03/05/2022","hospitalized_count",86,"unboosted"
"03/05/2022","death_count",9,"unboosted"
"03/05/2022","case_count",1014,"unvaccinated"
"03/05/2022","hospitalized_count",81,"unvaccinated"
"03/05/2022","death_count",6,"unvaccinated"
"03/12/2022","case_count",1893,"fully_vaccinated"
"03/12/2022","hospitalized_count",51,"fully_vaccinated"
"03/12/2022","death_count",6,"fully_vaccinated"
"03/12/2022","case_count",1099,"unboosted"
"03/12/2022","hospitalized_count",59,"unboosted"
"03/12/2022","death_count",2,"unboosted"
"03/12/2022","case_count",1017,"unvaccinated"
"03/12/2022","hospitalized_count",56,"unvaccinated"
"03/12/2022","death_count",7,"unvaccinated"
"03/19/2022","case_count",2656,"fully_vaccinated"
"03/19/2022","hospitalized_count",54,"fully_vaccinated"
"03/19/2022","death_count",5,"fully_vaccinated"
"03/19/2022","case_count",1367,"unboosted"
"03/19/2022","hospitalized_count",65,"unboosted"
"03/19/2022","death_count",5,"unboosted"
"03/19/2022","case_count",1228,"unvaccinated"
"03/19/2022","hospitalized_count",65,"unvaccinated"
"03/19/2022","death_count",3,"unvaccinated"
"03/26/2022","case_count",3846,"fully_vaccinated"
"03/26/2022","hospitalized_count",64,"fully_vaccinated"
"03/26/2022","death_count",3,"fully_vaccinated"
"03/26/2022","case_count",2057,"unboosted"
"03/26/2022","hospitalized_count",52,"unboosted"
"03/26/2022","death_count",4,"unboosted"
"03/26/2022","case_count",1835,"unvaccinated"
"03/26/2022","hospitalized_count",53,"unvaccinated"
"03/26/2022","death_count",6,"unvaccinated"
"04/02/2022","case_count",4690,"fully_vaccinated"
"04/02/2022","hospitalized_count",67,"fully_vaccinated"
"04/02/2022","death_count",4,"fully_vaccinated"
"04/02/2022","case_count",2642,"unboosted"
"04/02/2022","hospitalized_count",75,"unboosted"
"04/02/2022","death_count",8,"unboosted"
"04/02/2022","case_count",2046,"unvaccinated"
"04/02/2022","hospitalized_count",65,"unvaccinated"
"04/02/2022","death_count",4,"unvaccinated"
"04/09/2022","case_count",6527,"fully_vaccinated"
"04/09/2022","hospitalized_count",89,"fully_vaccinated"
"04/09/2022","death_count",3,"fully_vaccinated"
"04/09/2022","case_count",3476,"unboosted"
"04/09/2022","hospitalized_count",94,"unboosted"
"04/09/2022","death_count",5,"unboosted"
"04/09/2022","case_count",2612,"unvaccinated"
"04/09/2022","hospitalized_count",93,"unvaccinated"
"04/09/2022","death_count",10,"unvaccinated"
"04/16/2022","case_count",6598,"fully_vaccinated"
"04/16/2022","hospitalized_count",102,"fully_vaccinated"
"04/16/2022","death_count",2,"fully_vaccinated"
"04/16/2022","case_count",3572,"unboosted"
"04/16/2022","hospitalized_count",93,"unboosted"
"04/16/2022","death_count",2,"unboosted"
"04/16/2022","case_count",4965,"unvaccinated"
"04/16/2022","hospitalized_count",97,"unvaccinated"
"04/16/2022","death_count",12,"unvaccinated"
